text,label
Architecte Réseaux avec expertise SSH STP TCP/IP BGP. Déploiement de solutions Juniper chez des clients santé finance e-commerce.,Networks
Data Analyst expert en Looker et TensorFlow Pandas. Création de dashboards pour finance télécommunications industrie. Maîtrise de MySQL MongoDB et SPSS SciPy.,Data Science
"Ingénieur Réseaux certifié JNCIA. 8 ans d'expérience en infrastructure. Compétences : OSPF BGP VLAN, MikroTik Ubiquiti Fortinet, Linux Windows Server. Administration de Nmap Nagios Zabbix.",Networks
"Développeur Full Stack avec 10 ans d'expérience. Compétences : Kotlin Python Node.js pour le backend, JavaScript Tailwind Vue.js pour le frontend. Maîtrise de Oracle MongoDB et Docker Git Confluence. Diplomé d'un Master en Génie Logiciel.",Software Engineering
Pentester certifié SANS GPEN. Spécialisé en SOC Pentesting. Utilisation de Nmap Nessus Snort Metasploit pour tests d'intrusion. Connaissances NIST ISO 27001.,Cybersecurity
Network Administrator maîtrisant VLAN OSPF et Ubiquiti Aruba. Gestion de Windows Server Cisco IOS. Certification CCNP en cours.,Networks
"Analyste Cybersécurité SANS GPEN avec 4 ans d'expérience. Compétences : Pentesting Forensics Threat Hunting Reverse Engineering, Metasploit Qualys, PCI DSS NIST. Réalisation d'audits et réponse à incident audits de sécurité tests d'intrusion.",Cybersecurity
SOC Analyst maîtrisant Nessus Metasploit Nmap pour la détection d'incidents. Certifications CompTIA Security+. Veille sur les menaces IoT.,Cybersecurity
Site Reliability Engineer gérant Oracle Cloud. Automatisation avec Terraform et Azure DevOps GitHub Actions GitLab CI. Monitoring avec ELK Stack Prometheus.,Cloud DevOps
Architecte Réseaux avec expertise HTTP/HTTPS EIGRP DHCP OSPF. Déploiement de solutions Aruba chez des clients finance e-commerce.,Networks
Network Administrator maîtrisant SNMP BGP DHCP EIGRP et Aruba Cisco Fortinet. Gestion de Linux Juniper JunOS. Certification JNCIA en cours.,Networks
Network Security Engineer spécialisé dans MikroTik. Expérience avec Nagios et protocoles HTTP/HTTPS TCP/IP. Mise en place d'infrastructures sécurisées.,Networks
SOC Analyst maîtrisant Nessus Metasploit Nmap Splunk pour la détection d'incidents. Certifications CEH. Veille sur les menaces systèmes industriels.,Cybersecurity
Network Administrator maîtrisant DNS DHCP et Cisco MikroTik Palo Alto. Gestion de Cisco IOS Windows Server. Certification JNCIA en cours.,Networks
Pentester certifié CEH. Spécialisé en Pentesting Threat Hunting Malware Analysis. Utilisation de Splunk Qualys Nessus Burp Suite pour tests d'intrusion. Connaissances ISO 27001 MITRE ATT&CK.,Cybersecurity
"Data Engineer avec 2 ans. Compétences : NumPy, PostgreSQL, Jira. ETL avec CatBoost.",Data Science
Platform Engineer expert IBM Cloud et Pulumi Terraform CloudFormation. Déploiement d'infrastructures scalables avec Podman.,Cloud DevOps
"Data Scientist avec 5 ans d'expérience en analyse prédictive. Compétences : Python PyTorch NumPy, XGBoost Scikit-learn CatBoost, Plotly. Réalisation de projets de NLP.",Data Science
"Backend Developer passionné par l'architecture microservices. Stack technique : Kotlin C# Scala, PostgreSQL MongoDB MySQL, Confluence Jenkins. Certification AWS Developer OCPJP Spring Professional. Recherche nouveau défi technique.",Software Engineering
Full Stack Developer 2 ans d'expérience. Création d'applications scalables avec Node.js C# et HTML5 Angular. Connaissances approfondies en Kubernetes Maven Jira.,Software Engineering
"Spring Boot Developer. Java, Spring MVC, Spring Security, Hibernate, SQLite. 10 ans d'expérience en microservices.",Software Engineering
Cloud Architect spécialisé IBM Cloud Oracle Cloud Azure. Maîtrise de containerd Docker et Nomad Docker Swarm OpenShift. Certifications Azure Administrator.,Cloud DevOps
"Backend Developer passionné par l'architecture microservices. Stack technique : PHP Go Node.js Python, MongoDB, Docker. Certification Spring Professional. Recherche nouveau défi technique.",Software Engineering
Data Analyst expert en PowerBI et Scikit-learn R. Création de dashboards pour santé télécommunications. Maîtrise de SQLite Redis Oracle et SAS SciPy Statsmodels.,Data Science
Machine Learning Engineer spécialisé en Computer Vision Anomaly Detection. Utilisation de TensorFlow CatBoost PyTorch et {big_data_tools}. 8 ans d'expérience dans le déploiement de modèles.,Data Science
"Ingénieur Réseaux certifié Network+. 5 ans d'expérience en infrastructure. Compétences : SSH EIGRP OSPF BGP, Aruba, Cisco IOS. Administration de Wireshark.",Networks
"Analyste Cybersécurité OSCP avec 6 ans d'expérience. Compétences : Malware Analysis Threat Hunting, Nmap Metasploit Burp Suite, NIST PCI DSS. Réalisation d'audits et audits de sécurité tests d'intrusion réponse à incident.",Cybersecurity
Data Analyst expert en Tableau et Scikit-learn Keras PyTorch R. Création de dashboards pour transport finance. Maîtrise de PostgreSQL Redis et SAS SPSS Statsmodels.,Data Science
Machine Learning Engineer spécialisé en NLP Computer Vision. Utilisation de LightGBM TensorFlow et {big_data_tools}. 10 ans d'expérience dans le déploiement de modèles.,Data Science
"Spring Boot Developer. Java, Spring MVC, Spring Security, Hibernate, PostgreSQL. 10 ans d'expérience en microservices.",Software Engineering
"Data Scientist avec 10 ans d'expérience en analyse prédictive. Compétences : NumPy TensorFlow R Python, Scikit-learn TensorFlow, Matplotlib Seaborn. Réalisation de projets de régression.",Data Science
"Analyste Cybersécurité CISSP avec 3 ans d'expérience. Compétences : Reverse Engineering Pentesting, Burp Suite Metasploit Splunk, ISO 27001 GDPR. Réalisation d'audits et tests d'intrusion.",Cybersecurity
Cloud Architect spécialisé AWS GCP. Maîtrise de Podman Docker containerd et Nomad OpenShift. Certifications GCP Associate Engineer.,Cloud DevOps
Network Administrator maîtrisant SSH SNMP OSPF DNS et Ubiquiti. Gestion de Cisco IOS. Certification CCNP en cours.,Networks
"Data Engineer avec 5 ans. Compétences : Python, Redis, Git. ETL avec LightGBM.",Data Science
Network Administrator maîtrisant DHCP BGP DNS et Cisco. Gestion de Windows Server Cisco IOS Linux. Certification JNCIA en cours.,Networks
"Backend Developer passionné par l'architecture microservices. Stack technique : Java Go, Redis DynamoDB, Kubernetes. Certification OCPJP MongoDB Certified AWS Developer. Recherche nouveau défi technique.",Software Engineering
Ingénieur Logiciel spécialisé dans le développement d'applications web. Expert en Kotlin Python Java et CSS3 TypeScript HTML5. Utilisation quotidienne de Jenkins Docker et PostgreSQL Redis. 10 ans d'expérience en entreprise.,Software Engineering
Data Analyst expert en Seaborn Looker et R SQL Python PyTorch. Création de dashboards pour e-commerce transport. Maîtrise de MongoDB Redis DynamoDB et SAS SciPy SPSS.,Data Science
"Ingénieur Réseaux certifié CCNA. 5 ans d'expérience en infrastructure. Compétences : STP OSPF TCP/IP, Aruba Cisco Juniper, Windows Server Cisco IOS. Administration de Zabbix SolarWinds.",Networks
"Ingénieur Réseaux certifié Network+. 4 ans d'expérience en infrastructure. Compétences : OSPF TCP/IP, MikroTik Cisco Palo Alto, Windows Server Linux. Administration de Wireshark.",Networks
"Backend Developer passionné par l'architecture microservices. Stack technique : Node.js Go Python Java, DynamoDB MongoDB Redis, Jira Kubernetes. Certification AWS Developer MongoDB Certified OCPJP. Recherche nouveau défi technique.",Software Engineering
"Data Engineer avec 7 ans. Compétences : TensorFlow, Redis, Confluence. ETL avec XGBoost.",Data Science
Cloud Architect spécialisé AWS Oracle Cloud. Maîtrise de Docker Podman et Nomad Kubernetes. Certifications AWS Solutions Architect.,Cloud DevOps
Ingénieur Logiciel spécialisé dans le développement d'applications web. Expert en Scala C# Java Kotlin et Angular React. Utilisation quotidienne de Kubernetes SonarQube Gradle et MySQL Oracle. 2 ans d'expérience en entreprise.,Software Engineering
"Data Engineer avec 3 ans. Compétences : Keras, SQLite, Git. ETL avec TensorFlow.",Data Science
Architecte Réseaux avec expertise VLAN TCP/IP OSPF SSH. Déploiement de solutions Cisco Juniper Aruba chez des clients finance.,Networks
Site Reliability Engineer gérant Azure. Automatisation avec Chef SaltStack et Bamboo GitHub Actions. Monitoring avec Grafana Prometheus.,Cloud DevOps
